## This file was generated by InflowWind_Driver on 31-Mar-2021 at 11:44:43.
## This file contains the wind velocity at a grid of points at each requested timestep
## It is arranged as blocks of X,Y,Z,U,V,W at each timestep
## Each block is separated by two blank lines for use in gnuplot
# 
#  Requested data:
#    Dimension             Range             Stepsize       Num. points
#   -------------------------------------------------------------------
#       X         -4.50    ->    4.50          1.00             10
#       Y         -4.50    ->    4.50          1.00             10
#       Z        145.50    ->  154.50          1.00             10
#       T          0.0000  ->    1.0000        0.1000           10     
# 
# 
#           X              Y              Z              U              V              W
#          (m)            (m)            (m)           (m/s)          (m/s)          (m/s)



# Time: 0
    -1.5000000        4.5000000      145.5000000       17.242        1.006        0.481
    -1.5000000       -4.5000000      146.5000000       16.134       -1.371       -0.928
    -1.5000000       -3.5000000      146.5000000       16.380       -0.968       -0.654
    -1.5000000       -2.5000000      146.5000000       16.626       -0.565       -0.380
    -1.5000000       -1.5000000      146.5000000       16.872       -0.163       -0.106
    -1.5000000       -0.5000000      146.5000000       17.117        0.240        0.168
    -1.5000000        0.5000000      146.5000000       17.244        0.423        0.353
    -1.5000000        1.5000000      146.5000000       17.251        0.388        0.450
    -1.5000000        2.5000000      146.5000000       17.258        0.352        0.546
    -1.5000000        3.5000000      146.5000000       17.265        0.316        0.643
    -1.5000000        4.5000000      146.5000000       17.272        0.280        0.739
    -1.5000000       -4.5000000      147.5000000       16.032       -1.233       -0.961
    -1.5000000       -3.5000000      147.5000000       16.262       -1.025       -0.725
    -1.5000000       -2.5000000      147.5000000       16.492       -0.817       -0.489
    -1.5000000       -1.5000000      147.5000000       16.723       -0.610       -0.252
    -1.5000000       -0.5000000      147.5000000       16.953       -0.402       -0.016
    -1.5000000        0.5000000      147.5000000       17.094       -0.315        0.202
    -1.5000000        1.5000000      147.5000000       17.146       -0.347        0.401
    -1.5000000        2.5000000      147.5000000       17.199       -0.380        0.600
    -1.5000000        3.5000000      147.5000000       17.251       -0.413        0.799
    -1.5000000        4.5000000      147.5000000       17.303       -0.445        0.998
    -1.5000000       -4.5000000      148.5000000       15.930       -1.094       -0.995
    -1.5000000       -3.5000000      148.5000000       16.144       -1.082       -0.796
    -1.5000000       -2.5000000      148.5000000       16.359       -1.069       -0.597
    -1.5000000       -1.5000000      148.5000000       16.574       -1.057       -0.398
    -1.5000000       -0.5000000      148.5000000       16.788       -1.044       -0.200
    -1.5000000        0.5000000      148.5000000       16.944       -1.052        0.050
    -1.5000000        1.5000000      148.5000000       17.042       -1.082        0.352
    -1.5000000        2.5000000      148.5000000       17.139       -1.112        0.653
    -1.5000000        3.5000000      148.5000000       17.236       -1.141        0.954
    -1.5000000        4.5000000      148.5000000       17.334       -1.171        1.256
    -1.5000000       -4.5000000      149.5000000       15.827       -0.956       -1.028
    -1.5000000       -3.5000000      149.5000000       16.026       -1.139       -0.867
    -1.5000000       -2.5000000      149.5000000       16.226       -1.321       -0.706
    -1.5000000       -1.5000000      149.5000000       16.425       -1.503       -0.544
    -1.5000000       -0.5000000      149.5000000       16.624       -1.686       -0.383
    -1.5000000        0.5000000      149.5000000       16.794       -1.790       -0.101
    -1.5000000        1.5000000      149.5000000       16.937       -1.817        0.303
    -1.5000000        2.5000000      149.5000000       17.079       -1.843        0.706
    -1.5000000        3.5000000      149.5000000       17.222       -1.870        1.110
    -1.5000000        4.5000000      149.5000000       17.364       -1.897        1.514
    -1.5000000       -4.5000000      150.5000000       15.775       -0.898       -1.103
    -1.5000000       -3.5000000      150.5000000       15.981       -1.172       -0.975
    -1.5000000       -2.5000000      150.5000000       16.187       -1.447       -0.847
    -1.5000000       -1.5000000      150.5000000       16.394       -1.722       -0.718
    -1.5000000       -0.5000000      150.5000000       16.600       -1.996       -0.590
    -1.5000000        0.5000000      150.5000000       16.789       -2.135       -0.309
    -1.5000000        1.5000000      150.5000000       16.961       -2.139        0.126
    -1.5000000        2.5000000      150.5000000       17.132       -2.142        0.560
    -1.5000000        3.5000000      150.5000000       17.304       -2.145        0.994
    -1.5000000        4.5000000      150.5000000       17.476       -2.149        1.428
    -1.5000000       -4.5000000      151.5000000       15.772       -0.919       -1.221
    -1.5000000       -3.5000000      151.5000000       16.009       -1.183       -1.120
    -1.5000000       -2.5000000      151.5000000       16.245       -1.447       -1.020
